,county,state,cases,deaths,year,month,day
186,Alameda,California,1,0,2020,March,1
198,Alameda,California,1,0,2020,March,2
212,Alameda,California,2,0,2020,March,3
227,Alameda,California,2,0,2020,March,4
242,Alameda,California,2,0,2020,March,5
257,Alameda,California,3,0,2020,March,6
273,Alameda,California,3,0,2020,March,7
293,Alameda,California,3,0,2020,March,8
313,Alameda,California,24,0,2020,March,9
334,Alameda,California,25,0,2020,March,10
357,Alameda,California,25,0,2020,March,11
381,Alameda,California,29,0,2020,March,12
406,Alameda,California,29,0,2020,March,13
432,Alameda,California,29,0,2020,March,14
459,Alameda,California,37,0,2020,March,15
488,Alameda,California,40,0,2020,March,16
518,Alameda,California,49,0,2020,March,17
550,Alameda,California,53,0,2020,March,18
583,Alameda,California,57,0,2020,March,19
616,Alameda,California,67,0,2020,March,20
651,Alameda,California,87,0,2020,March,21
690,Alameda,California,127,0,2020,March,22
730,Alameda,California,139,1,2020,March,23
770,Alameda,California,151,2,2020,March,24
812,Alameda,California,156,2,2020,March,25
856,Alameda,California,199,4,2020,March,26
900,Alameda,California,241,4,2020,March,27
946,Alameda,California,277,6,2020,March,28
993,Alameda,California,291,6,2020,March,29
1041,Alameda,California,304,7,2020,March,30
1090,Alameda,California,334,7,2020,March,31
1140,Alameda,California,380,8,2020,April,1
1191,Alameda,California,417,9,2020,April,2
1243,Alameda,California,464,12,2020,April,3
1296,Alameda,California,464,12,2020,April,4
1348,Alameda,California,587,12,2020,April,5
1400,Alameda,California,609,13,2020,April,6
1453,Alameda,California,655,15,2020,April,7
1507,Alameda,California,695,16,2020,April,8
1560,Alameda,California,734,17,2020,April,9
1613,Alameda,California,766,20,2020,April,10
1666,Alameda,California,827,21,2020,April,11
1719,Alameda,California,864,23,2020,April,12
1772,Alameda,California,907,23,2020,April,13
1825,Alameda,California,908,23,2020,April,14
1878,Alameda,California,983,36,2020,April,15
1931,Alameda,California,1069,40,2020,April,16
1984,Alameda,California,1084,40,2020,April,17
2037,Alameda,California,1135,41,2020,April,18
2090,Alameda,California,1185,42,2020,April,19
2143,Alameda,California,1212,42,2020,April,20
2196,Alameda,California,1260,43,2020,April,21
2249,Alameda,California,1260,43,2020,April,22
2302,Alameda,California,1350,48,2020,April,23
2355,Alameda,California,1422,48,2020,April,24
2408,Alameda,California,1458,52,2020,April,25
2461,Alameda,California,1489,52,2020,April,26
2514,Alameda,California,1519,56,2020,April,27
2567,Alameda,California,1554,59,2020,April,28
2621,Alameda,California,1589,59,2020,April,29
2675,Alameda,California,1624,63,2020,April,30
2729,Alameda,California,1657,63,2020,May,1
2783,Alameda,California,1726,63,2020,May,2
2837,Alameda,California,1770,63,2020,May,3
2891,Alameda,California,1797,65,2020,May,4
2945,Alameda,California,1830,66,2020,May,5
2999,Alameda,California,1884,69,2020,May,6
3053,Alameda,California,1938,69,2020,May,7
3107,Alameda,California,1982,70,2020,May,8
