County,Month,Date,Calendar Year,Unemployment Monthly,CalFresh Households,CalFresh Persons,Applications Recevied,Online Applications Received,EBT_FSP_dollars
Statewide,January,Jan-19,2019,4.8%,"1,906,041","3,764,747","165,779","72,917","936,417,639"
Alameda,January,Jan-19,2019,0.3%,"53,529","93,512","5,515","2,428","24,484,650"
Alpine,January,Jan-19,2019,4.7%,70,114,4,1,"27,662"
Amador,January,Jan-19,2019,4.9%,"1,462","2,573",154,40,"607,423"
Butte,January,Jan-19,2019,6.6%,"16,535","29,634","2,043","1,085","7,170,854"
Calaveras,January,Jan-19,2019,4.8%,"2,592","4,561",221,38,"1,109,319"
Colusa,January,Jan-19,2019,19.6%,648,"1,398",88,19,"314,806"
Contra Costa,January,Jan-19,2019,3.6%,"29,521","56,080","2,573","1,192","14,211,352"
Del Norte,January,Jan-19,2019,7.2%,"2,517","4,877",176,26,"1,188,959"
El Dorado,January,Jan-19,2019,4.3%,"6,295","10,678",641,49,"2,573,728"
Fresno,January,Jan-19,2019,8.9%,"88,792","203,094","5,541","2,333","49,371,807"
Glenn,January,Jan-19,2019,8.3%,"1,480","3,184",158,40,"714,876"
Humboldt,January,Jan-19,2019,4.6%,"12,113","19,790","1,328",395,"4,982,047"
Imperial,January,Jan-19,2019,18.5%,"17,286","41,148","1,864",187,"9,343,787"
Inyo,January,Jan-19,2019,4.9%,"1,003","1,834",84,4,"435,985"
Kern,January,Jan-19,2019,9.1%,"64,938","147,651","6,163","1,744","36,085,750"
Kings,January,Jan-19,2019,9.8%,"10,489","23,134","1,021",221,"5,424,858"
Lake,January,Jan-19,2019,6.6%,"6,303","11,292",422,72,"2,761,408"
Lassen,January,Jan-19,2019,6.1%,"1,485","2,878",119,26,"714,570"
Los Angeles,January,Jan-19,2019,4.9%,"546,186","1,043,266","45,946","28,140","268,648,764"
Madera,January,Jan-19,2019,8.6%,"10,862","26,050",688,104,"6,290,199"
Marin,January,Jan-19,2019,2.7%,"5,838","9,377",515,182,"2,377,235"
Mariposa,January,Jan-19,2019,7.2%,"1,048","1,883",,,"438,601"
Mendocino,January,Jan-19,2019,5.2%,"6,008","11,021",540,66,"2,725,312"
Merced,January,Jan-19,2019,10.3%,"22,423","50,423","1,796",393,"12,278,392"
Modoc,January,Jan-19,2019,11.4%,635,"1,297",63,15,"311,677"
Mono,January,Jan-19,2019,3.7%,427,729,37,10,"187,084"
Monterey,January,Jan-19,2019,10.0%,"19,022","41,729","2,233",657,"10,254,499"
Napa,January,Jan-19,2019,4.0%,"2,684","5,246",280,64,"1,147,721"
Nevada,January,Jan-19,2019,4.1%,"4,345","7,308",430,152,"1,775,032"
Orange,January,Jan-19,2019,3.3%,"103,534","197,017","8,637","3,663","48,232,433"
Placer,January,Jan-19,2019,3.8%,"8,015","14,065",724,374,"3,211,140"
Plumas,January,Jan-19,2019,11.8%,"1,149","2,037",128,35,"499,475"
Riverside,January,Jan-19,2019,4.8%,"111,236","238,225","11,223","4,363","57,009,697"
Sacramento,January,Jan-19,2019,4.4%,"93,983","187,356","8,503","3,437","48,341,348"
San Benito,January,Jan-19,2019,6.6%,"2,094","4,391",189,56,"1,052,997"
San Bernardino,January,Jan-19,2019,4.5%,"150,205","321,527","12,790","4,248","78,886,579"
San Diego,January,Jan-19,2019,3.8%,"132,715","248,598","12,905","6,734","59,772,835"
