,County,Month,Year,Unemployment Monthly,Households,Persons,EBT Cash
708,Statewide,January,2020,4.3%,2176109,4075962,500169011
709,Alameda,January,2020,3.1%,65302,112881,13678807
710,Alpine,January,2020,4.6%,77,126,14377
711,Amador,January,2020,4.7%,1496,2588,305508
712,Butte,January,2020,5.6%,17028,28648,3503997
713,Calaveras,January,2020,4.3%,2874,4919,598445
714,Colusa,January,2020,19.2%,738,1516,177448
715,Contra Costa,January,2020,3.2%,33892,64360,7635303
716,Del Norte,January,2020,6.5%,2997,5380,612047
717,El Dorado,January,2020,3.7%,6766,11042,1378191
718,Fresno,January,2020,8.1%,93574,214086,24719087
719,Glenn,January,2020,7.3%,1638,3316,384307
720,Humboldt,January,2020,4.1%,13855,21620,2710912
721,Imperial,January,2020,18.8%,18027,39338,4437646
722,Inyo,January,2020,3.9%,999,1822,223433
723,Kern,January,2020,8.6%,71862,154628,18857594
724,Kings,January,2020,9.4%,11480,24160,2855968
725,Lake,January,2020,6.0%,7408,12246,1460791
726,Lassen,January,2020,5.6%,1673,3049,380343
727,Los Angeles,January,2020,4.5%,674575,1180662,149967613
728,Madera,January,2020,8.1%,11550,26269,3179812
729,Marin,January,2020,2.4%,6536,9944,1287537
730,Mariposa,January,2020,6.2%,1207,2086,246785
731,Mendocino,January,2020,4.8%,6638,11397,1429000
732,Merced,January,2020,9.8%,24601,52167,6311790
733,Modoc,January,2020,9.7%,754,1430,164037
734,Mono,January,2020,3.5%,340,560,73794
735,Monterey,January,2020,9.7%,18863,39532,5187601
736,Napa,January,2020,3.5%,3127,5568,654030
737,Nevada,January,2020,3.7%,4741,7593,966560
738,Orange,January,2020,2.9%,109775,205555,24646948
739,Placer,January,2020,3.3%,8642,14325,1701829
740,Plumas,January,2020,10.5%,1296,2210,271513
741,Riverside,January,2020,4.2%,120637,240982,30089121
742,Sacramento,January,2020,3.9%,109778,219383,26350892
743,San Benito,January,2020,6.2%,2215,4435,548068
744,San Bernardino,January,2020,3.9%,158541,324719,40281453
