County,Month,Year,Unemployment Monthly,Households,Persons,EBT Cash,Cases,Deaths
Alameda,January,2020,0.031,65302,112881,13678807,0,0
Alameda,February,2020,0.03,65156,112458,13629862,0,0
Alameda,March,2020,0.038,66424,114173,13937791,334,7
Alameda,April,2020,0.141,76979,126157,15822035,1624,63
Alameda,May,2020,0.135,82572,134219,17104593,3411,103
Alameda,June,2020,0.134,86632,141850,17778873,5985,135
Alameda,July,2020,0.12,86626,139604,17423995,11324,182
Alameda,August,2020,0.098,86097,139609,17247406,18208,258
Alameda,September,2020,0.093,85083,143675,16651321,21404,412
Alameda,October,2020,0.079,81670,138417,16524612,23897,464
Alameda,November,2020,0.067,78468,132809,15568349,29939,512
Alameda,December,2020,0.076,78156,131805,15364421,51611,657
Alameda,January,2021,0.072,79808,133661,15425325,73792,980
Alameda,February,2021,0.068,82449,137321,22031493,79492,1175
Alpine,January,2020,0.046,77,126,14377,0,0
Alpine,February,2020,0.05,69,116,13049,0,0
Alpine,March,2020,0.071,72,120,13602,1,0
Alpine,April,2020,0.221,86,138,15172,2,0
Alpine,May,2020,0.222,92,148,16769,2,0
Alpine,June,2020,0.196,79,128,14732,2,0
Alpine,July,2020,0.141,73,118,12848,2,0
Alpine,August,2020,0.112,69,113,11837,2,0
Alpine,September,2020,0.107,66,109,11543,2,0
Alpine,October,2020,0.097,63,105,11846,4,0
Alpine,November,2020,0.071,60,100,10675,41,0
Alpine,December,2020,0.073,59,93,10445,65,0
Alpine,January,2021,0.069,62,101,12117,72,0
Alpine,February,2021,0.073,66,113,17359,77,0
Amador,January,2020,0.047,1496,2588,305508,0,0
Amador,February,2020,0.044,1494,2586,308150,0,0
Amador,March,2020,0.054,1482,2531,303908,1,0
Amador,April,2020,0.143,1611,2781,333662,7,0
Amador,May,2020,0.151,1692,2932,353127,10,0
Amador,June,2020,0.127,1647,2831,336925,21,0
Amador,July,2020,0.119,1519,2545,302115,120,0
Amador,August,2020,0.093,1490,2507,289532,239,14
Amador,September,2020,0.087,1513,2586,298105,293,16
Amador,October,2020,0.077,1497,2573,308333,343,16
Amador,November,2020,0.07,1472,2529,296124,547,16
Amador,December,2020,0.084,1462,2517,294707,2417,24
Amador,January,2021,0.083,1477,2516,294412,3180,33
Amador,February,2021,0.079,0,0,428988,3426,39
Butte,January,2020,0.056,17028,28648,3503997,0,0
Butte,February,2020,0.054,16964,28535,3455705,0,0
Butte,March,2020,0.067,17053,28521,3491778,8,0
Butte,April,2020,0.149,18812,31203,3812696,16,0
Butte,May,2020,0.135,19681,32491,3935663,44,0
Butte,June,2020,0.121,19728,32357,3988976,175,2
Butte,July,2020,0.111,18528,30236,3621067,941,7
Butte,August,2020,0.09,17921,29244,3454582,2026,23
Butte,September,2020,0.085,17666,28943,3387493,2848,45
Butte,October,2020,0.074,17108,28177,3504238,3160,53
Butte,November,2020,0.068,16731,27522,3358435,4131,60
Butte,December,2020,0.082,16485,27247,3273105,7390,96
Butte,January,2021,0.081,16623,27476,3278018,10177,138
Butte,February,2021,0.077,16762,27675,4736658,10823,156
Calaveras,January,2020,0.043,2874,4919,598445,0,0
Calaveras,February,2020,0.042,2886,4962,602879,0,0
Calaveras,March,2020,0.054,2907,5031,613336,3,0
Calaveras,April,2020,0.133,3105,5432,665686,13,0
Calaveras,May,2020,0.12,3193,5590,700876,15,0
Calaveras,June,2020,0.11,3141,5411,677126,32,0
Calaveras,July,2020,0.096,2959,5044,617409,125,1
Calaveras,August,2020,0.075,2924,4991,608928,236,2
Calaveras,September,2020,0.074,2879,4934,591152,322,14
Calaveras,October,2020,0.066,2795,4811,611483,354,21
Calaveras,November,2020,0.059,2758,4750,595055,478,22
Calaveras,December,2020,0.073,2780,4825,591822,1131,22
Calaveras,January,2021,0.07,2831,4893,587358,1763,23
Calaveras,February,2021,0.066,2825,4881,841338,1876,25
Colusa,January,2020,0.192,738,1516,177448,0,0
Colusa,February,2020,0.198,741,1519,177301,0,0
Colusa,March,2020,0.224,771,1600,184751,1,0
Colusa,April,2020,0.263,873,1831,207160,3,0
Colusa,May,2020,0.211,919,1934,213057,5,0
Colusa,June,2020,0.183,944,1959,214122,46,0
Colusa,July,2020,0.153,913,1900,201622,323,4
Colusa,August,2020,0.11,929,1919,202713,445,6
Colusa,September,2020,0.106,934,1904,199031,536,6
Colusa,October,2020,0.093,900,1795,199240,557,6
Colusa,November,2020,0.108,896,1794,205632,737,6
Colusa,December,2020,0.155,934,1865,211777,1351,8
Colusa,January,2021,0.16,965,1917,217723,1935,10
Colusa,February,2021,0.159,995,1966,329618,2117,13
Contra Costa,January,2020,0.032,33892,64360,7635303,0,0
Contra Costa,February,2020,0.031,33937,63827,7646707,0,0
Contra Costa,March,2020,0.04,34081,63989,7708109,222,3
Contra Costa,April,2020,0.145,37747,68202,8615670,891,27
Contra Costa,May,2020,0.136,40758,73309,9408379,1450,37
Contra Costa,June,2020,0.134,43544,77365,9864093,3132,76
Contra Costa,July,2020,0.12,43542,76147,9519098,7714,119
Contra Costa,August,2020,0.098,43916,77681,9585920,13938,175
Contra Costa,September,2020,0.093,43968,80426,9420087,16896,209
Contra Costa,October,2020,0.079,42744,78584,9537552,19074,246
Contra Costa,November,2020,0.068,41736,76656,9180650,24475,261
Contra Costa,December,2020,0.079,41836,76656,9117582,40697,335
Contra Costa,January,2021,0.075,42830,77919,9141815,57337,529
Contra Costa,February,2021,0.071,44389,80233,13095225,61469,654
Del Norte,January,2020,0.065,2997,5380,612047,0,0
